Horodateur,Quel est votre âge?,Quel est votre sexe?,Quel est votre niveau d'études ? ,Quelle description correspond le mieux à votre statut professionnel actuel ?,"Afin de rendre aléatoire l'étape suivante, veuillez choisir un numéro entre 1 et 4.","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?",Quel est votre intérêt pour le sport automobile ? ,Quelles sont vos connaissances en matière de sport automobile ? ,Avez-vous déjà assisté à un événement de sport automobile ? ,Possédez-vous une voiture?,"Si oui, quel type de voiture possédez-vous ? ","Lors de l'achat d'une voiture ou d'une pièce détachée, quelle importance accordez-vous au fait qu'elle soit équipée d'une technologie issue du sport automobile ou qu'elle ait un lien quelconque avec le sport automobile ? ",Avez-vous déjà acheté une voiture ou une pièce détachée d'une marque impliquée dans le sport automobile ?,"À votre avis, quelle est l'efficacité du sport automobile en tant qu'outil de marketing pour les constructeurs et manufacturiers automobiles ? ",Avez-vous déjà été incité à acheter une voiture ou une pièce détachée en raison de l'implication de la marque en sport automobile ? ,"Selon vous, dans quelle mesure le sport automobile a-t-il un impact global sur la technologie et l'innovation dans le domaine de l'automobile ? ",Pensez-vous que le sport automobile peut contribuer au développement de technologies automobiles plus durables et plus respectueuses de l'environnement ? ,Pourquoi?
10/05/2023 08:47:54,18-24,Homme,Bac +5 (Master),Étudiant,1,Continental Sport Contact 7,,,,Légèrement intéressé,Pas du tout informé,Non,Oui,Break ,Légèrement important,Non,Extrêmement efficace,Non,Beaucoup d'impact,Oui,"Oui, car le sport automobile est un domaine exigent, où il faut constamment innover pour des raisons de performance, d'efficacité, mais aussi de sécurité. La durabilité et l'environnement sont donc au cœur des recherches. "
10/05/2023 13:48:11,35-44,Homme,Bac +5 (Master),Cadre dirigeant,2,,Michelin Pilot Sport 5,,,Très intéressé,Très informé,Oui,Oui,Sportive,Très important,Oui,Très efficace,Oui,Beaucoup d'impact,Oui,
10/05/2023 13:49:42,18-24,Femme,Bac +5 (Master),Employé,2,,Bridgestone Potenza Sport,,,Très intéressé,Moyennement informé,Oui,Oui,Berline,Moyennement important,Non,Très efficace,Oui,Beaucoup d'impact,Oui,
10/05/2023 13:51:52,45-54,Homme,Bac +5 (Master),Employé,1,Michelin Pilot Sport 5,,,,Légèrement intéressé,Légèrement informé,Non,Non,,Légèrement important,Non,Très efficace,Non,Beaucoup d'impact,Je ne suis pas certain,"Le sport automobile a pour principal objectif d'être performant en course ; l'impact sur l'environnement est un ""plus"" mais certainement pas un objectif"
10/05/2023 13:56:29,25-34,Femme,Bac +5 (Master),Cadre dirigeant,2,,Michelin Pilot Sport 5,,,Pas du tout intéressé,Très informé,Oui,Oui,Berline,Légèrement important,Oui,Légèrement efficace,Non,Beaucoup d'impact,Non,Je ne pense pas que le sport automobile soit motivé par des technologies soucieuses de l'environnement.
10/05/2023 14:04:25,18-24,Homme,Bac +5 (Master),Étudiant,3,,,Michelin Pilot Sport 5,,Moyennement intéressé,Moyennement informé,Non,Non,,Moyennement important,Non,Très efficace,Oui,Extrêmement d'impact,Je ne suis pas certain,le sport automobile est encore loin d'être respectueux de l'environnement selon moi par nature et ne tend pas à le devenir dans un avenir très proche 
10/05/2023 14:12:17,45-54,Femme,Bac +5 (Master),Cadre,3,,,Michelin Pilot Sport 5,,Pas du tout intéressé,Légèrement informé,Non,Oui,SUV,Légèrement important,Je ne sais pas,Très efficace,Non,Beaucoup d'impact,Je ne suis pas certain,"Un impact sur l'innovation oui mais sur des technologies plus durables, je ne sais pas, je l'espère"
10/05/2023 14:15:03,35-44,Femme,Bac +3 (Licence / Bachelor),Employé,4,,,,Michelin Pilot Sport 5,Légèrement intéressé,Pas du tout informé,Oui,Oui,Compacte,Pas du tout important,Je ne sais pas,Moyennement efficace,Non,Beaucoup d'impact,Je ne suis pas certain,pas de connaissance en la matière
10/05/2023 14:17:04,25-34,Femme,Bac +5 (Master),Employé,2,,Michelin Pilot Sport 5,,,Pas du tout intéressé,Légèrement informé,Non,Oui,Citadine,Pas du tout important,Je ne sais pas,Légèrement efficace,Non,Beaucoup d'impact,Je ne suis pas certain, 
10/05/2023 14:29:44,35-44,Homme,Bac +5 (Master),Profession intermédiaire,3,,,Michelin Pilot Sport 5,,Légèrement intéressé,Moyennement informé,Oui,Oui,"Compacte, Sportive",Légèrement important,Oui,Moyennement efficace,Oui,Moyennement d'impact,Oui,"en matière d'innovation, les usages et contraintes liés au sport auto donnent des nouvelles informations pour réaliser des développements. Les reglements techniques doivent imposer des règles toujours plus contraignantes afin de checher la performance mais aussi le respect de l'environnement.  
 
"
